Workplace Example,Element Name,Hot Technology,In Demand
!Trak-it Solutions !Trak-it HR,Human resources software,N,N
100 Plus Hatch Pattern Library,Pattern design software,N,N
1003 Uniform Residential Loan Application,Financial analysis software,N,N
1099 ProsSoftware,Tax preparation software,N,N
1CadCam Unigraphics,Computer aided manufacturing CAM software,N,N
1ST Pricing Window & Door Toolkit,Procurement software,N,N
20-20 Technologies 20-20 Design,Computer aided design CAD software,N,N
24SevenOffice Project,Project management software,N,N
2AB iLock Security Services,Access software,N,N
360 Analytics eQUEST,Analytical or scientific software,N,N
3D Nature LLC Visual Nature Studio,Computer aided design CAD software,N,N
3D Nature LLC World Construction Set,Computer aided design CAD software,N,N
3D Printing software,Computer aided design CAD software,N,N
3D Static Strength Prediction Program 3DSSPP,Analytical or scientific software,N,N
3D Systems Geomagic Design X,Computer aided design CAD software,N,N
3D Systems GibbsCAM,Computer aided manufacturing CAM software,N,N
3D graphic design software,Graphics or photo imaging software,N,N
3D graphics software,Graphics or photo imaging software,N,N
3D motion analysis software,Analytical or scientific software,N,N
3D urban simulation modeling software,Computer aided design CAD software,N,N
3DGrid HIPAA Checkup,Compliance software,N,N
3M Electronic Monitoring,Data base user interface and query software,N,N
3M Encoder,Categorization or classification software,N,N
3M Post-it App,Word processing software,N,N
3PL Central,Materials requirements planning logistics and supply chain software,N,N
3dMapper,Analytical or scientific software,N,N
4n6xprt Systems StiffCalcs,Computer aided design CAD software,N,N
5AM Glassbox Translational Research,Data base user interface and query software,N,N
80-20 Software Leaders4,Compliance software,N,N
911 system information databases,Data base user interface and query software,N,N
@Road GeoManager,Materials requirements planning logistics and supply chain software,N,N
A Large Outdoor Fire plume Trajectory model Flat Terrain ALOFT-FT,Analytical or scientific software,N,N
A mathematical programming language AMPL,Analytical or scientific software,N,N
A programming language APL,Development environment software,N,N
A&D Technology iTest,Analytical or scientific software,N,N
A-Systems JobView,Accounting software,N,N
A-T Solutions Easy Street Draw,Graphics or photo imaging software,N,N
A1-Law,Data base user interface and query software,N,N
AABACH Graphic Systems DIGRA,Industrial control software,N,N
AASoftTech Web Organization Chart,Charting software,N,N
ABB CPM4Metals,Materials requirements planning logistics and supply chain software,N,N
ABB MicroSCADA Pro DMS,Industrial control software,N,N
ABB MicroSCADA Pro SYS,Industrial control software,N,N
ABB Optimize IT Predict & Control,Facilities management software,N,N
ABB PSGuard,Industrial control software,N,N
ABB Production Planning,Materials requirements planning logistics and supply chain software,N,N
ABB RobotStudio,Development environment software,N,N
ABC Compiler,Development environment software,N,N
ABC programming language,Development environment software,N,N
ABC: the AspectBench Compiler for AspectJ,Object or component oriented development software,N,N
ABELSoft ABELDent,Medical software,N,N
ABOL Manifest Systems,Label making software,N,N
ACCA Manual J,Analytical or scientific software,N,N
ACCUCert,Compliance software,N,N
ACD Systems Canvas,Graphics or photo imaging software,N,N
ACE Dental,Medical software,N,N
ACI Appraiser's Choice,Desktop publishing software,N,N
ACI TaskTracker,Project management software,N,N
ACL Analytics,Financial analysis software,N,N
ACL Audit Exchange,Analytical or scientific software,N,N
ACL Business Assurance Analytics,Financial analysis software,N,N
ACMS Casewatch Millenium,Medical software,N,N
ACOM Solutions RAPID EMR,Medical software,N,N
ACS Technologies ACS Financial Suite,Accounting software,N,N
ACS Technologies HeadMaster,Enterprise resource planning ERP software,N,N
ACT Contractors Forms,Information retrieval or search software,N,N
ACT Discover,Data base user interface and query software,N,N
ACT WorkKeys,Analytical or scientific software,N,N
ACT! ACT4Advisors,Customer relationship management CRM software,N,N
ACT! Premium,Customer relationship management CRM software,N,N
AD OPT Altitude,Calendar and scheduling software,N,N
ADAPT-Modeler,Analytical or scientific software,N,N
ADC Legal Systems Perfect Practice,Data base user interface and query software,N,N
"ADERANT Expert Back Office, Powered by Keystone",Enterprise resource planning ERP software,N,N
ADERANT Expert Matter Center,Data base user interface and query software,N,N
ADInstruments LabChart,Medical software,N,N
ADL Data Systems OptimumClinicals Electronic Health Record,Medical software,N,N
ADMS pollution modeling software,Analytical or scientific software,N,N
ADO.NET,Data base management system software,N,N
ADP Drive DMS for Accounting,Accounting software,N,N
ADP Employease,Human resources software,N,N
ADP Enterprise HR,Human resources software,N,N
ADP Enterprise eTIME,Time accounting software,N,N
ADP HR/Benefits Solution,Human resources software,N,N
ADP HR/Profile,Human resources software,N,N
ADP PC/Payroll,Time accounting software,N,N
ADP Pay eXpert,Time accounting software,N,N
ADP Super Report Writer,Data base reporting software,N,N
ADP Workforce Now,Human resources software,N,N
ADP eTIME,Time accounting software,N,N
ADP ezLaborManager,Time accounting software,N,N
ADP software,Enterprise resource planning ERP software,N,N
ADP/Vantra VOLTS,Desktop communications software,N,N
ADS Advantage,Customer relationship management CRM software,N,N
ADi SmartBOL,Materials requirements planning logistics and supply chain software,N,N
AEC Design Group CADPIPE,Computer aided design CAD software,N,N
AEC Software FastTrack Schedule,Data base user interface and query software,N,N
AEMC DataView,Analytical or scientific software,N,N
AERONET calculator,Analytical or scientific software,N,N
AES MailSTAR,Materials requirements planning logistics and supply chain software,N,N
AESDirect,Data base user interface and query software,N,N
AFEXDirect,Point of sale POS software,N,N
AGCO Advanced Technology Solutions Fieldstar,Industrial control software,N,N
AGCO GTA Software Suite,Analytical or scientific software,N,N
AIGHD OASIS,Medical software,N,N
AIQ Systems TradingExpert Pro,Financial analysis software,N,N
AIRMaster+,Analytical or scientific software,N,N
AJAX,Web platform development software,Y,N
ALK Technologies FleetSuite,Route navigation software,N,N
ALK Technologies PC*Miler,Route navigation software,N,N
AMCS Platform,Analytical or scientific software,N,N
AMG Teleran SalesInSync,Customer relationship management CRM software,N,N
AMPL,Analytical or scientific software,N,N
AMS REALTIME Projects,Project management software,N,N
AMS Services AMS 360,Enterprise resource planning ERP software,N,N
AMS Services AMS Sagitta,Enterprise resource planning ERP software,N,N
AMTdirect,Data base user interface and query software,N,N
ANCA ToolRoom,Computer aided manufacturing CAM software,N,N
ANISN dose assessment computer code,Analytical or scientific software,N,N
ANSYS AQWA,Analytical or scientific software,N,N
ANSYS ASAS,Analytical or scientific software,N,N
ANSYS LS-DYNA,Analytical or scientific software,N,N
ANSYS Mechanical,Analytical or scientific software,N,N
ANSYS Multiphysics,Analytical or scientific software,N,N
ANSYS simulation software,Analytical or scientific software,N,N
AOL MapQuest,Map creation software,N,N
AP ENPS,Video creation and editing software,N,N
API Healthcare ActiveStaffer,Calendar and scheduling software,N,N
API Navigator,Human resources software,N,N
APLAC,Analytical or scientific software,N,N
APPCA Personal Chef Office,Data base user interface and query software,N,N
ARC Logics Sword,Compliance software,N,N
ARCOM Masterspec,Data base user interface and query software,N,N
ARES Corporation PRISM Project Estimator,Financial analysis software,N,N
ARK Software Ark Shelter Software,Data base user interface and query software,N,N
ARMON Technologies XLActuary,Financial analysis software,N,N
ARSoftware WinSMAC,Computer aided design CAD software,N,N
ARfit,Analytical or scientific software,N,N
AS Software AS-OBGYN,Medical software,N,N
AS/400 Database,Data base user interface and query software,N,N
ASG Technologies ASG-Zeke,Data base reporting software,N,N
ASI Client Acquisition Solution,Financial analysis software,N,N
ASI DATAMYTE GageMetrics,Industrial control software,N,N
ASI DATAMYTE QDA,Industrial control software,N,N
ASI FrontDesk,Facilities management software,N,N
ASI Point of Sale,Point of sale POS software,N,N
ASIDATAMYTE DataMetrics,Industrial control software,N,N
ASL HR Director,Human resources software,N,N
ASPEN,Data base user interface and query software,N,N
ASPEN PLUS,Analytical or scientific software,N,N
ASR Software LWC-Plus,Computer aided design CAD software,N,N
ASR Software Taper-Plus,Computer aided design CAD software,N,N
ASR Software TopView LE,Computer aided design CAD software,N,N
ASR Software TopView ME,Computer aided design CAD software,N,N
ASSET JTAG ScanWorks,Analytical or scientific software,N,N
AST Staff Matrix,Human resources software,N,N
AT&T Troff,Desktop publishing software,N,N
ATD protocol,WAN switching software and firmware,N,N
ATLAS.ti,Analytical or scientific software,N,N
ATMS StockTrack PLUS,Inventory management software,N,N
ATX Total Accounting Office,Accounting software,N,N
ATX Total Engagement Office,Accounting software,N,N
ATX Total Tax Office,Tax preparation software,N,N
AUDIT-C,Medical software,N,N
AVEVA InTouch HMI,Industrial control software,N,N
AVL AVL CRUISE,Analytical or scientific software,N,N
AWK,Development environment software,N,N
AWS Elastic MapReduce (EMR),Business intelligence and data analysis software,N,N
AZZ CardFile,Data base user interface and query software,N,N
Ab Initio,Enterprise resource planning ERP software,N,N
Abacus Data Solutions HearWare,Medical software,N,N
Abacus Data Systems AbacusLaw,Data base user interface and query software,N,N
Abacus Tax,Tax preparation software,N,N
AbacusNext HotDocs,Document management software,N,N
Abbott,Program testing software,N,N
Abbott Informatics STARLIMS:LIMS,Analytical or scientific software,N,N
AbbottSoft QuickFix,Data base user interface and query software,N,N
Abilis CORIS Offender Management System,Data base user interface and query software,N,N
Ability Photopaint,Graphics or photo imaging software,N,N
Abraxas Energy Consulting Metrix,Data base user interface and query software,N,N
Absorption process simulation software,Analytical or scientific software,N,N
Abstraction plus reference plus synthesis A++,Development environment software,N,N
AcaClone pDRAW32,Analytical or scientific software,N,N
AcaStat Software,Analytical or scientific software,N,N
Academic educational software,Computer based training software,N,N
Acarda CallAssist,Expert system software,N,N
Acarda ForbiddenCalls,Data base user interface and query software,N,N
Acarda Sales Technologies Acarda Outbound,Helpdesk or call center software,N,N
Accela KIVA DMS,Enterprise resource planning ERP software,N,N
Accela PERMITS Plus,Compliance software,N,N
Accela Tidemark Advantage,Compliance software,N,N
Accelerated life testing software,Analytical or scientific software,N,N
Accellos Real Dispatch,Mobile location based services software,N,N
Accelrys Cerius2,Analytical or scientific software,N,N
Accelrys DeCipher,Analytical or scientific software,N,N
Accelrys FELIX,Analytical or scientific software,N,N
Accelrys Insight II,Computer aided design CAD software,N,N
Accelrys Materials Studio,Analytical or scientific software,N,N
Accelrys Pipeline Pilot,Analytical or scientific software,N,N
Accelrys QAUNTA,Analytical or scientific software,N,N
Access Software AIRPAX,Facilities management software,N,N
Access management software,Access software,N,N
AccessData FTK,Network monitoring software,N,N
Acclaim Legal Acclaim DepoManage,Data base user interface and query software,N,N
Account management software,Accounting software,N,N
AccountMate Software AccountMate,Accounting software,N,N
Accountants Templates JAZZ-It!,Enterprise resource planning ERP software,N,N
AccountantsWorld Payroll Relief,Accounting software,N,N
Accounting compliance software,Compliance software,N,N
Accounting fraud detection software,Financial analysis software,N,N
Accounts payable software,Accounting software,N,N
Accounts receivable software,Accounting software,N,N
Accounts receivables system software,Accounting software,N,N
Accra Med Software Filopto,Medical software,N,N
AccuWeather Galileo,Graphics or photo imaging software,N,N
Accuity EPICWare,Financial analysis software,N,N
Acculaw Court Reporters Billing Scheduling Job Management System ABSMS,Enterprise resource planning ERP software,N,N
Accurate NXG,Accounting software,N,N
Accuship Star System,Materials requirements planning logistics and supply chain software,N,N
Accutech Systems Corporation AccuFarm-MGR,Enterprise resource planning ERP software,N,N
Accvision ABMIS,Inventory management software,N,N
AceTools.biz Ace Translator,Foreign language software,N,N
AcmeStudio,Requirements analysis and system architecture software,N,N
AcornSystems Corporate Performance Management,Enterprise resource planning ERP software,N,N
AcorynSystems Activity Based Costing/Management ABC/M,Accounting software,N,N
Acoustica Mixcraft,Music or sound editing software,N,N
Acrendo A.I.med,Medical software,N,N
Acrendo Medical Software Family Practice EMR,Medical software,N,N
Acrendo Medical Software Ob/Gyn EMR,Medical software,N,N
Acresso InstallAnywhere,Object or component oriented development software,N,N
Acronis Recovery Expert,Backup or archival software,N,N
Act!,Customer relationship management CRM software,N,N
Act-3D Quest3D,Video creation and editing software,N,N
Actano Rplan,Project management software,N,N
Actimize Brokerage Compliance Solutions,Compliance software,N,N
ActionWare,Customer relationship management CRM software,N,N
Activant Solutions Activant Prophet 21,Accounting software,N,N
Active Data Online WebChat,Network conferencing software,N,N
Active Network EventRegister,Project management software,N,N
Active directory software,Internet directory services software,N,N
Actsoft Comet Tracker,Materials requirements planning logistics and supply chain software,N,N
Actuarial Systems Corporation AIM,Human resources software,N,N
Actuarial Systems Corporation Compliance Testing System,Human resources software,N,N
Actuarial Systems Corporation DV Direct,Human resources software,N,N
Actuarial Systems Corporation Defined Benefit System,Human resources software,N,N
Actuarial Systems Corporation Document Generation and Management System,Document management software,N,N
Actuate BIRT,Business intelligence and data analysis software,N,N
Actuate DocBook,Web page creation and editing software,N,N
Actuate Eclipse BIRT,Data base reporting software,N,N
AcuPartner Professional,Medical software,N,N
AcuStaf,Calendar and scheduling software,N,N
AcuityPro,Medical software,N,N
AdRelevance,Data base reporting software,N,N
AdSense Tracker,Data base user interface and query software,N,N
AdTrack Customer Acquisition Management CAM,Customer relationship management CRM software,N,N
Ada,Development environment software,N,N
Adapt It,Foreign language software,N,N
AdaptaSoft CyberPay,Accounting software,N,N
Adaptive Metadata Manager,Metadata management software,N,N
Adaptive Planning,Enterprise resource planning ERP software,N,N
Adaptive conjoint analysis ACA software,Analytical or scientific software,N,N
Adaptive optics AO simulation software,Analytical or scientific software,N,N
Addison Health Systems WritePad EHR,Medical software,N,N
Address Management System AMS,Data base user interface and query software,N,N
Addressing software,Word processing software,N,N
Ademero Content Central,Document management software,N,N
Adept Scientific GRAMS,Analytical or scientific software,N,N
Adeptia ETL Suite,Development environment software,N,N
Aderant CompuLaw,Calendar and scheduling software,N,N
Aderant legal software,Expert system software,N,N
Adexa Supply Chain Planning,Materials requirements planning logistics and supply chain software,N,N
Adexa eGPS Suite,Enterprise resource planning ERP software,N,N
Adlib Express,Document management software,N,N
Adlib Information Systems Adlib Archive,Data base user interface and query software,N,N
"Admissions, discharge, and transfer ADT software",Medical software,N,N
Adobe AIR,Development environment software,N,N
Adobe Acrobat,Document management software,Y,N
Adobe Acrobat Pro Extended,Document management software,N,N
Adobe Acrobat Reader,Document management software,N,N
Adobe Acrobat Writer,Word processing software,N,N
Adobe ActionScript,Development environment software,N,N
Adobe After Effects,Video creation and editing software,Y,N
Adobe Analytics,Analytical or scientific software,N,Y
Adobe Audition,Music or sound editing software,N,N
Adobe Authorware,Computer based training software,N,N
Adobe Captivate,Computer based training software,N,N
Adobe ColdFusion,Web platform development software,N,N
Adobe Connect,Network conferencing software,N,N
Adobe Contribute,Web page creation and editing software,N,N
Adobe Creative Cloud software,Graphics or photo imaging software,Y,N
Adobe Director,Video creation and editing software,N,N
Adobe Distiller,Desktop publishing software,N,N
Adobe Dreamweaver,Web page creation and editing software,N,N
Adobe Experience Manager (AEM),Web page creation and editing software,N,N
Adobe Flex,Web platform development software,N,N
Adobe FrameMaker,Desktop publishing software,N,N
Adobe FreeHand MX,Graphics or photo imaging software,N,N
Adobe Human Capital Application Solution Accelerator,Human resources software,N,N
Adobe Illustrator,Graphics or photo imaging software,Y,N
Adobe ImageReady,Graphics or photo imaging software,N,N
Adobe InCopy,Word processing software,N,N
Adobe InDesign,Desktop publishing software,Y,N
Adobe LifeCycle ES,Document management software,N,N
Adobe LifeCycle Enterprise Suite,Document management software,N,N
Adobe LifeCycle Production Print ES3,Document management software,N,N
Adobe LiveMotion,Graphics or photo imaging software,N,N
Adobe Macromedia HomeSite,Web page creation and editing software,N,N
Adobe PageMaker,Desktop publishing software,N,N
Adobe Persuasion,Presentation software,N,N
Adobe Photoshop,Graphics or photo imaging software,Y,N
Adobe Photoshop Lightroom,Graphics or photo imaging software,N,Y
Adobe PostScript,Development environment software,N,N
Adobe Premiere Pro,Video creation and editing software,N,N
Adobe Presenter,Computer based training software,N,N
Adobe RoboHelp,Graphical user interface development software,N,N
Adobe XD,Graphics or photo imaging software,N,Y
Adobe eLearning Suite,Computer based training software,N,N
Adstra Systems ADSTRA Management,Medical software,N,N
Adtec Agency Manager,Customer relationship management CRM software,N,N
Advance Ortho Systems Program Director,Medical software,N,N
Advanced Chemistry Development ACD/1D nuclear magnetic resonance NMR processor,Analytical or scientific software,N,N
Advanced Chemistry Development Analytical Laboratory,Analytical or scientific software,N,N
Advanced Data Systems MedicsDocAssistant for Pediatrics,Medical software,N,N
Advanced Data Systems MedicsRis,Medical software,N,N
Advanced Dimensional Management 3D-GD&T,Analytical or scientific software,N,N
Advanced Graphics Technology ProCogo,Map creation software,N,N
Advanced Logic Technology WellCAD,Computer aided design CAD software,N,N
Advanced Management Systems Software for Wineries,Enterprise resource planning ERP software,N,N
Advanced Micro Systems 1099-Etc,Tax preparation software,N,N
Advanced Portfolio Technologies Report Builder,Financial analysis software,N,N
Advanced Portfolio Technologies Simulator,Financial analysis software,N,N
Advanced Processing and Imaging OptiView ECM,Document management software,N,N
